"","Search Terms","SV","Relev.","Sugg. bid & range","B0C9589Q6M","B0DFH6N4SC","B0DHXLR5BN","B0CPR21WGM","B0CYJK9JM3","B0CZRSVZNC","B0DPTPQ1CG","B0F5HTWVSM","B0CCSYQD55","B07VCGHS82","B07QVRJ55V","B09YYWJ84V","B09L8NHDSD","B0CLYTSYKQ","B0DJNZ5H1R","B0DPQV94ZT","B0DJFQ4S1M","B0D1V1723X","B0F3D94X39","B0D2FPFHCS","B0CYQDDY6H","B0DS3PQSSH","B0C1W6YLD4","B09HY118FQ","B07KWTYB48","B0DP9LVS69","B0CBQK2WD9","B08Y8HXMYJ","B07W51CMG9","B0DJTKGYS9"
"","japanese tshirt","786","0.03111111111111111","","33","2","1","7","29","16","28","27","6","8","19","3","12","34","10","31","30","35","23","11","25","14","15","38","17","59","5","54","43","32"
"","japanese t shirt","1476","0.030000000000000002","","26","1","2","4","34","13","9","12","6","16","21","3","30","80","18","32","25","35","24","17","27","19","14","46","11","37","8","36","50","28"
"","japanese tshirts","250","0.030000000000000002","","","3","2","6","29","16","14","13","7","18","20","4","24","35","10","31","26","37","11","15","21","12","9","38","23","","8","","45","33"
"","japanese t shirts","250","0.02888888888888889","","43","6","1","22","26","8","17","15","4","9","27","2","25","","20","47","39","29","21","13","11","14","19","36","12","62","7","33","","45"
"","japanese tshirt men","1118","0.02777777777777778","","27","2","4","9","33","5","3","14","10","22","37","1","40","47","25","15","53","","17","6","21","42","23","77","16","45","12","65","30","7"
"","japanese t shirts for men","2375","0.024444444444444442","","27","17","7","15","","1","18","23","21","3","29","2","46","","26","16","","90","8","4","22","34","20","63","6","","5","43","76","19"
"","japanese tees","1165","0.02333333333333333","","","1","2","5","34","","10","26","11","","4","14","20","30","16","48","39","141","21","15","69","25","35","61","","33","9","","7","27"
"","japanese shirt","5334","0.021111111111111112","","","16","1","17","93","","21","13","12","37","55","2","10","","31","45","44","","41","11","20","30","14","74","29","69","9","","95","67"
"","japanese shirt men","250","0.021111111111111112","","45","8","7","23","","11","35","29","27","","12","10","25","56","6","39","82","101","78","1","30","62","38","73","28","96","15","","108","20"
"","mens japanese shirt","250","0.021111111111111112","","44","22","8","26","","6","40","1","33","46","34","3","19","","20","35","","","","5","37","","31","","25","","17","","","14"
