"","Competitors","","Niche Median","","B01KVYXDP8","B0D911NWDD","B00NUDDCWW","B0B3275MY9","B0168YDAZS","B0CCNS2NPL","B0FBPTKD6P","B0DFGDJ5SC","B0D72YM7XF","B0CGJK68DJ","B0FFBL8G5C","B08HP36JL2","B09CZDP5WV","B0CFFZNX32","B07GNXQ2KQ","B0CGJBFNVS","B0B8PF59H5","B0CGJHS4BW","B09FGWV7QS","B07PQZJ64X","B0DFVBDLKN","B0D6PF512C","B0DFW7C47X","B07YBW46GY","B0BGQR4JWD","B0DJCXX7VY","B09CHF34VD","B0FJLNF9FH","B07XQVTR11","B09CHDB1R3"
"","Brand","","23","","Ann Arbor T-shirt Co.","DFZ","Ann Arbor T-shirt Co.","Disney","Ann Arbor T-shirt Co.","Hardaddy","The Lovers Tarot Card Spooky Halloween Women Men","Boys Funny Halloween Skeleton shirts for gamers","DIGForest","Skeleton Themed Halloween Shirts Men Women Kids","Hello Darkness My Old Friend Crow Coffee Halloween","BoredKoalas Funny Halloween Costume Shirts","Awkward Halloween Co","Halloween Shirts For Women Men Kids Boys Girls","Peanuts","Skeleton Themed Halloween Shirts Men Women Kids","Crazy Dog T-Shirts","Halloween Shirts For Women Men Kids Boys Girls","Halloween Shirts For Women Men Kids Boys Girls","Boo Pocus","Funny Halloween Shirts For Women","Fun Halloween Cat Designs - Van Gough Apparel Shop","Skeleton Funny Golf Halloween Tees","Cactus Coast","InGENIUS Halloween Tees & Horror Gifts","Halloween Headless Horseman t -shir t","Halloween Shirts For Women Men Kids Boys Girls","Spooky Boo Haunted House Halloween Shirts Boy Men","Halloween Costumes MV&SG","Halloween Shirts For Women Men Kids Boys Girls"
"","ASIN","","30","","B01KVYXDP8","B0D911NWDD","B00NUDDCWW","B0B3275MY9","B0168YDAZS","B0CCNS2NPL","B0FBPTKD6P","B0DFGDJ5SC","B0D72YM7XF","B0CGJK68DJ","B0FFBL8G5C","B08HP36JL2","B09CZDP5WV","B0CFFZNX32","B07GNXQ2KQ","B0CGJBFNVS","B0B8PF59H5","B0CGJHS4BW","B09FGWV7QS","B07PQZJ64X","B0DFVBDLKN","B0D6PF512C","B0DFW7C47X","B07YBW46GY","B0BGQR4JWD","B0DJCXX7VY","B09CHF34VD","B0FJLNF9FH","B07XQVTR11","B09CHDB1R3"
"","Strength","","6 Very Strong, 4 Strong, 4 Weak, 14 Very Weak","","Very Strong","Strong","Weak","Very Strong","Very Strong","Very Weak","Very Weak","Very Strong","Very Weak","Very Weak","","Very Strong","Very Weak","Strong","Strong","Very Strong","Weak","Very Weak","Very Weak","Very Weak","Very Weak","Weak","Very Weak","Very Weak","Very Weak","Weak","Strong","Very Weak","","Very Weak"
"","Seller's Country","","23 Amazon, 4 US, 2 CN, 1 GB","","US","CN","US","(Amazon)","US","CN","(Amazon)","(Amazon)","GB","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","US","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)","(Amazon)"
"","Variations","","1","","37","80","6","1","6","68","1","1","26","1","1","1","1","1","1","1","8","1","1","1","1","1","1","1","1","1","1","1","1","1"
"","Outlier Search Volume","","17,961","","104,963","170,487","61,001","414,397","30,896","2,108","332,936","180,275","90,148","63,351","0","94,049","0","93,150","215,735","35,190","0","9,007","24,637","0","11,115","0","6,392","6,392","29,993","6,427","11,285","0","0","0"
"","Outlier Keywords","","3","","19","29","9","41","4","1","18","20","15","15","0","6","0","7","15","5","0","1","5","0","2","0","1","1","7","1","2","0","0","0"
"","Rating","","4.7","","4.6","4.6","4.6","4.6","4.5","4.7","4.5","4.8","4.7","4.7","5","4.8","4.7","4.8","4.6","4.7","4.2","4.8","4.7","4.7","4.6","4.8","4.6","4.7","4.7","5","4.4","","4.6","4.5"
"","Review Count","","99","","9,040","125","5,662","463","3,345","320","12","88","64","84","2","1,182","1,396","61","541","99","14","16","64","328","175","65","13","243","64","5","69","","682","108"
"","Listing Age","","2 yrs, 6 mos","","9 yrs, 1 mo","1 yr, 2 mos","10 yrs, 11 mos","3 yrs, 3 mos","9 yrs, 11 mos","2 yrs, 1 mo","3 mos","12 mos","1 yr, 2 mos","2 yrs, 1 mo","2 mos","4 yrs, 1 mo","4 yrs, 1 mo","2 yrs, 1 mo","6 yrs, 12 mos","2 yrs, 1 mo","3 yrs, 1 mo","2 yrs, 1 mo","3 yrs, 12 mos","6 yrs, 5 mos","12 mos","1 yr, 3 mos","12 mos","5 yrs, 11 mos","2 yrs, 11 mos","11 mos","4 yrs, 1 mo","1 mo","5 yrs, 12 mos","4 yrs, 1 mo"
"","Price","","$14.49","","$7.99","$9.99","$9.99","$19.54","$9.99","$23.99","$15.29","$15.49","$14.99","$15.29","$16.99","$13.38","$16.14","$17.99","$19.54","$13.38","$14.99","$13.38","$13.38","$13.95","$13.98","$13.96","$13.95","$16.99","$16.99","$16.99","$13.38","$13.99","$16.96","$13.38"
"","Sales","","134—467","","858","570","464","366","360","283","270","265","259","232","210","180","173","147","139","129","100","100","98","96","95","94","90","90","86","80","75","60","60","60"
"","Revenue","","$2,067—6,446","","$6,855","$5,694","$4,635","$7,152","$3,596","$6,789","$4,128","$3,962","$3,882","$3,547","$3,568","$2,408","$2,792","$2,645","$2,716","$1,726","$1,499","$1,338","$1,311","$1,339","$1,328","$1,312","$1,256","$1,529","$1,461","$1,359","$1,004","$839","$1,018","$803"
"","Fulfillment","","FBA, AMZ, FBM","","1 x FBA","1 x FBA","1 x FBA","1 x AMZ","1 x FBA","1 x FBA","1 x AMZ","1 x AMZ","1 x FBA","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x FBM","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ","1 x AMZ"
"","KWs on P1","","10","","22","18","18","23","25","1","9","23","8","5","0","26","7","22","18","23","12","5","2","11","3","16","8","4","5","10","16","4","0","4"
"","KWs on P1 Percentage","","37%","","85%","69%","69%","88%","96%","4%","35%","88%","31%","19%","0%","100%","27%","85%","69%","88%","46%","19%","8%","42%","12%","62%","31%","15%","19%","38%","62%","15%","0%","15%"
"","SV on P1 (Share of Voice)","","34,253","","92,335","65,563","45,336","96,481","99,220","1,057","38,716","94,677","13,021","11,294","0","100,305","12,021","78,549","67,945","86,406","45,432","10,016","1,832","21,083","4,686","53,294","29,789","5,181","26,479","47,934","61,732","6,231","0","8,104"
"","SV on P1 Percentage","","34%","","92%","65%","45%","96%","99%","1%","39%","94%","13%","11%","0%","100%","12%","78%","68%","86%","45%","10%","2%","21%","5%","53%","30%","5%","26%","48%","62%","6%","0%","8%"
"","Advertised KWs","","0","","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Advertised KWs Percentage","","0%","","0%","8%","4%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"","KWs with TOS Ads","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","KWs with TOS Ads Percentage","","0%","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"","SV with TOS Ads","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","SV with TOS Ads Percentage","","0%","","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"","Category","","30 Clothing, Shoes & Jewelry","","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry"
