"","Search Terms","SV","Relev.","Sugg. bid & range","B01KVYXDP8","B0D911NWDD","B00NUDDCWW","B0B3275MY9","B0168YDAZS","B0CCNS2NPL","B0FBPTKD6P","B0DFGDJ5SC","B0D72YM7XF","B0CGJK68DJ","B0FFBL8G5C","B08HP36JL2","B09CZDP5WV","B0CFFZNX32","B07GNXQ2KQ","B0CGJBFNVS","B0B8PF59H5","B0CGJHS4BW","B09FGWV7QS","B07PQZJ64X","B0DFVBDLKN","B0D6PF512C","B0DFW7C47X","B07YBW46GY","B0BGQR4JWD","B0DJCXX7VY","B09CHF34VD","B0FJLNF9FH","B07XQVTR11","B09CHDB1R3"
"","halloween tee shirts for men","747","0.8","","31","5","12","22","13","","35","9","30","21","","17","16","2","7","8","23","47","25","11","15","1","3","","24","10","20","19","",""
"","halloween tshirt men","4007","0.6333333333333333","","3","5","30","6","11","","45","8","","38","","2","35","1","15","13","42","","","23","","4","12","","","","32","","","31"
"","halloween tshirts men","1121","0.6333333333333333","","8","2","12","20","1","","","25","","","","6","35","7","14","13","33","","","19","","3","10","31","","34","23","17","",""
"","halloween t shirts for men","3191","0.6","","17","1","8","16","3","","","10","33","37","","5","26","7","6","2","","","","31","41","12","22","","","","29","","",""
"","mens halloween t shirts","2227","0.6","","17","19","35","28","2","","","1","44","31","","15","46","3","7","13","","","","11","","10","4","22","","","29","","","33"
"","halloween shirt men","3455","0.5","","21","36","40","38","4","","67","1","","79","","5","77","6","63","10","48","16","70","29","","68","44","93","31","14","25","74","","78"
"","halloween clothes for men","1122","0.5","","26","6","19","33","20","48","21","14","1","22","","24","10","","35","","","29","","","","38","","","","","","","","30"
"","halloween shirt for men","1052","0.5","","42","23","26","15","2","","","3","","","","14","","10","41","11","32","38","","","","","","","35","19","31","","",""
"","men's halloween shirts","2372","0.4666666666666667","","47","11","43","32","23","","","14","","","","15","","3","","6","18","38","","","","27","","","","41","16","25","",""
"","halloween shirts men","2177","0.4666666666666667","","11","29","37","30","17","","60","18","45","","","9","87","12","","8","32","","89","","","67","","70","31","36","28","63","105","90"
"","halloween mens shirt","2015","0.4666666666666667","","15","8","21","12","4","","","13","","","","35","","20","40","16","45","43","","","","","","","48","26","17","","",""
"","mens halloween shirt","13956","0.43333333333333335","","9","27","64","32","13","","103","4","63","68","","31","76","7","38","25","40","","62","46","","84","10","88","57","39","24","72","","67"
"","mens halloween shirts","1991","0.43333333333333335","","25","17","44","46","6","","","1","","","","9","","2","","7","40","","","45","","","","","","27","19","38","",""
"","halloween tee shirts","988","0.43333333333333335","","82","44","22","7","23","","18","28","45","","47","14","54","1","5","11","","","","24","72","31","","107","","69","","","92",""
"","men halloween shirt","1484","0.4","","18","16","30","14","5","","50","8","36","63","","25","","4","46","22","","55","82","32","","79","54","","70","47","27","60","","81"
"","halloween shirts for men","19048","0.36666666666666664","","7","10","72","37","25","","","44","60","","124","36","86","15","85","34","","58","99","54","","78","61","93","33","21","18","53","","79"
"","halloween t shirt","7080","0.36666666666666664","","33","91","57","1","4","","13","12","","","","8","139","30","6","29","36","","","90","123","34","","107","120","","103","","",""
"","halloween t-shirts","2141","0.36666666666666664","","22","","","5","6","","37","12","","","","13","","21","9","8","","","","","","41","","","","","42","","",""
"","funny halloween shirts for men","1085","0.36666666666666664","","24","","","","","","","44","18","","","8","37","","","10","42","","29","27","48","","16","15","","","","","",""
"","halloween tee shirt","787","0.36666666666666664","","78","23","27","1","9","","","17","48","","68","12","70","6","3","8","","","","13","","40","","102","","","","","",""
"","halloween t shirts","7829","0.3333333333333333","","42","","","1","7","","26","39","50","","","10","91","93","2","24","32","","115","72","87","41","","113","","","66","","","140"
"","halloween t-shirt","3082","0.3333333333333333","","22","","48","3","5","","31","32","","","","8","","27","9","4","","","","","","21","","","","","","","",""
"","halloween man","748","0.3333333333333333","","19","","94","","11","47","","","","","","14","27","9","","28","","","","","45","","","36","","","40","","","31"
"","halloween tshirt","11720","0.3","","31","111","40","1","8","","11","30","","","","10","","65","4","47","","","","95","","25","","","","","91","","",""
"","halloween tees","3823","0.3","","","13","28","7","36","","","","","","","27","","20","10","31","","","","","","9","","","","","","","",""
"","mens halloween","1057","0.3","","14","","43","27","9","29","","","","","","11","","1","30","","","","","46","","7","","47","","","","","",""
